image,pred_text,confidence,plate_valid,plate_format,plate_type,region_valid,region_code,region_name,region_scheme,postprocess_score,normalization_steps,status,visualization
img_47.jpg,076NUA03,0.9698,True,std_private,INVALID,True,03,Akmola Region,new,105,drop_prefix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_47.jpg
img_48.jpg,195AXD02,0.8750,True,std_private,INVALID,True,02,Almaty city,new,105,drop_non_alnum,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_48.jpg
img_49.jpg,544BSM02,0.9214,True,std_private,INVALID,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_49.jpg
img_51.jpg,421ADX07,0.8841,True,std_private,INVALID,True,07,West Kazakhstan Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_51.jpg
img_52.jpg,826AEI18,0.9041,True,std_private,INVALID,True,18,Abai Region,new,105,normalize_kz_pattern,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_52.jpg
img_53.jpg,701LOG07,0.9018,True,std_private,INVALID,True,07,West Kazakhstan Region,new,105,drop_suffix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_53.jpg
img_54.jpg,812BEM02,0.9238,True,std_private,NEW_STANDARD,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_54.jpg
img_55.jpg,367AVK02,0.8604,True,std_private,INVALID,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_55.jpg
img_59.jpg,831MHA10,0.8451,True,std_private,NEW_STANDARD,True,10,Kostanay Region,new,105,"drop_non_alnum,normalize_kz_pattern",ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_59.jpg
img_61.jpg,989AEF19,0.8923,True,std_private,INVALID,True,19,Zhetysu Region,new,105,normalize_kz_pattern,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_61.jpg
img_62.jpg,390AGY01,0.8334,True,std_private,INVALID,True,01,Astana city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_62.jpg
img_63.jpg,636AIP03,0.8837,True,std_private,INVALID,True,03,Akmola Region,new,105,"drop_non_alnum,normalize_kz_pattern",ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_63.jpg
img_64.jpg,725APE02,0.8882,True,std_private,NEW_STANDARD,True,02,Almaty city,new,105,drop_prefix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_64.jpg
img_66.jpg,962AFB15,0.8567,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,"drop_non_alnum,normalize_kz_pattern",ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_66.jpg
img_68.jpg,673AOE17,0.8810,True,std_private,NEW_STANDARD,True,17,Shymkent city,new,105,normalize_kz_pattern,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_68.jpg
img_69.jpg,138AFH15,0.8312,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,drop_suffix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_69.jpg
img_70.jpg,010OHO01,0.9358,True,std_private,NEW_STANDARD,True,01,Astana city,new,105,normalize_kz_pattern,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_70.jpg
img_72.jpg,707BBB14,0.8905,True,std_private,NEW_STANDARD,True,14,Pavlodar Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_72.jpg
img_75.jpg,121BBI02,0.8541,True,std_private,INVALID,True,02,Almaty city,new,105,drop_prefix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_75.jpg
img_76.jpg,204AXT02,0.9090,True,std_private,NEW_STANDARD,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_76.jpg
img_78.jpg,583BCC05,0.8728,True,std_private,NEW_STANDARD,True,05,Almaty Region,new,105,drop_prefix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_78.jpg
img_80.jpg,431ADE07,0.9284,True,std_private,INVALID,True,07,West Kazakhstan Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_80.jpg
img_81.jpg,822AEQ09,0.9121,True,std_private,INVALID,True,09,Karaganda Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_81.jpg
img_84.jpg,533APM05,0.8786,True,std_private,NEW_STANDARD,True,05,Almaty Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_84.jpg
img_86.jpg,074BFX13,0.9364,True,std_private,INVALID,True,13,Turkestan Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_86.jpg
img_88.jpg,066APG01,0.9420,True,std_private,INVALID,True,01,Astana city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_88.jpg
img_90.jpg,029ADU15,0.9551,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,drop_non_alnum,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_90.jpg
img_91.jpg,811AAL07,0.8751,True,std_private,INVALID,True,07,West Kazakhstan Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_91.jpg
img_96.jpg,189AXK02,0.9338,True,std_private,NEW_STANDARD,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_96.jpg
img_98.jpg,579ALG16,0.9082,True,std_private,INVALID,True,16,East Kazakhstan Region,new,105,drop_non_alnum,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_98.jpg
img_99.jpg,597ALY01,0.8890,True,std_private,INVALID,True,01,Astana city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_99.jpg
img_100.jpg,101AIC10,0.6007,True,std_private,INVALID,True,10,Kostanay Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_100.jpg
